item_type,title,creators,first_name,last_name,ean_isbn13,upc_isbn10,description,publisher,publish_date,group,tags,notes,price,length,number_of_discs,number_of_players,age_group,ensemble,aspect_ratio,esrb,rating,review,review_date,status,began,completed,added,copies
book,"Caramelos mágicos","Heena Baek, Seong Cholim, Eunhee Kwon",Heena,Baek,9788417742669,8417742662,"El protagonista de esta historia es un niño solitario que se entretiene jugando a las canicas. De pronto, un día, encuentra unas canicas diferentes. ¡Son caramelos! ¡Y además, mágicos! Come uno y el sillón le habla. Prueba otro y su perro le cuenta que no juega con él porque está cansado. Después llega su papá y le suelta un montón de órdenes y reprimendas. El pequeño come otro caramelo y, entonces, escucha que su papá le dice mil veces cuánto lo quiere. Se mete en la boca uno rosa y escucha a su abuela que está en el cielo, quien le aconseja que hagaamigos y disfrute. Con el último caramelo, la que se escucha es su propia voz invitando a otro niño a jugar. El pequeño, a través de la metáfora de los caramelos en la garganta, descubre que no está solo, que los demás le hablan y le quieren, y que cuando es él quien se atreve a hablar, evoluciona y deja atrás esa soledad para divertirse y compartir. La autora e ilustradora coreana, ganadora del premio The Astrid Lindgren Memorial Award, compone un curioso, extraño y conmovedor relato arropado por sorprendentes ilustraciones, integrando llamativos muñecos de papel maché fotografiados. De este modo, la artista logra un efecto tridimensional y extraordinariamente expresivo. Cada emoción de los personajes parece salir del libro en cada página. Es un álbum especial para los críos a los que les cuesta socializar, los que se sienten, a veces, marginados por sus pares o poco queridos. Seguramente, además, los niños querrán fabricar sus propios personajes con papel maché, arcilla, masa, plastilina o cualquier otro material. Un creativo recurso para jugar en familia o en el colegio. Un cuento perfecto para entender que es importante escuchar a los demás con un oído afinado, que no todo es lo que parece y que cuando uno halla sus propias palabras, se produce la magia: uno cambia.","Editorial Kókinos",2021-11-24,,,,,48,,,,,,,,,,,,,2026-01-05,1
book,"Yo quiero un perro: ¡¡El que sea, me da igual!!","Kitty Crowther, Joana Carro Pérez, César Sánchez Rodríguez",Kitty,Crowther,9788417617851,841761785X,"Hay dos cosas en la vida que la joven Millie detesta: la primera, madrugar; la segunda, la escuela. Lo que de verdad adora son los perros. ¡Y quiere uno! ¡El que sea! Todos los días, sin descanso, se lo pide a su mamá, hasta que un buen día… ¡Sorpresa! Su mamá responde con un gran «sí!». La duda les asalta cuando llegan al refugio. ¿A cuál elegir? ¡Ah, si los perros pudieran hablar!","Fulgencio Pimentel S.L.",2021-10-04,,,,,52,,,,,,,,,,,,,2026-01-05,1
book,"El gnomo que no duerme (Spanish Edition)","Lingdren & Crowther",Lingdren,Crowther,9788484704850,8484704858,"Kitty Crowther, winner of the 2010 Astrid Lindgren Memorial Award, has illustrated this classic about a friendly troll that visits the farm animals at night. The soothing text makes it an excellent read-aloud or ideal bedtime story.","Lectorum Pubns (Juv)",2014-03-28,,,,,28,,,,,,,,,,,,,2026-01-05,1
book,"Al Otro Lado","Maurice Sendak",Maurice,Sendak,9788484648611,8484648613,"While her father is out at sea, Ida looks after her baby sister. When the goblins take her to marry her off to their king, Ida embarks on a fantastical journey to rescue her.","Kalandraka Ediciones Andalucía, S.L.",2016-03-10,,,,,40,,,,,,,,,,,,,2026-01-05,1
book,"DONDE VIVEN LOS MONSTRUOS","Maurice Sendak",Maurice,Sendak,9788484648581,8484648583,"Max navega a la tierra de las cosas salvajes, donde se convierte en su rey.",,2014-04-01,,,,,48,,,,,,,,,,,,,2026-01-05,1
book,"La cocina de noche","Maurice Sendak",Maurice,Sendak,9788484648512,8484648516,"A little boy's dream-fantasy in which he helps three fat bakers get milk for their cake batter.",,2014-03-01,,,,,48,,,,,,,,,,,,,2026-01-05,1
book,"Pequeño&amp;Grande Salvador Dalí","María Isabel Sánchez Vegara, Mariona Tolosa Sisteré",María,Vegara,9788411780735,8411780732,"Salvador Dalí es uno de los artistas españoles más internacionales de la historia y uno de los máximos exponentes del surrealismo. Empezó a pintar de muy joven y se matriculó en la Escuela de Bellas Artes de San Fernando, en Madrid, donde entabló amistad con Luis Buñuel y Federico García Lorca. Creó un estilo inconfundible y genuinamente personal. Aunque su obra se centró sobre todo en la pintura, también trabajó la escultura, el grabado, la orfebrería, el cine, el diseño y la escritura. Siempre será recordado como un genio extravagante, único y repetible, icono del arte contemporáneo.","Alba Editorial",2024-05-15,,,,,,,,,,,,,,,,,,2026-01-05,1
book,"Pequeño &amp; Grande Federico García Lorca (Spanish Edition)","María Isabel Sánchez Vegara, Alfonso Casas Moreno",María,Vegara,9788490655603,849065560X,"Federico García Lorca (Fuente Vaqueros, 1898 · Camino de Víznar a Alfacar, 1936), nació en un pequeño pueblo granadino. Publicó sus primeros poemas en revistas de prestigio y empezó a ganar popularidad con Poemas del cante jondo y Romancero gitano. En 1929 viajó a Nueva York donde escribió su famoso Poeta en Nueva York, una obra autobiográfica que reflejaba su tristeza y soledad. En 1936 el ejército dio un golpe de Estado y Lorca, que era considerado una amenaza por el nuevo régimen, fue detenido y, tres días después, fusilado. Federico García Lorca siempre será recordado como el mejor poeta español contemporáneo y su muerte supuso golpe durísimo para el mundo de las letras españolas.","Alba Editorial",2019-04-03,,,,,32,,,,,,,,,,,,,2026-01-05,1
book,"Un libro de la selva","Fernando Vázquez Mahía",Fernando,Mahía,9788417555641,8417555641,"Un explorador decimonónico abandona su estudio para emprender un viaje por la selva. A partir de este momento el camino fluye delante de sus pies, transformándose en un viaje iniciático que el explorador recorre con curiosidad, fascinación y sin miedo. El lector es invitado a acompañarlo adentrándose en la poética de las suntuosas láminas de Fernando Vázquez, llenas de sugerencias literarias, musicales y cinematográficas. Si aceptamos su invitación a entrar, veremos surgir delante de nuestros ojos un rico universo simbólico, ritmado por un juego de asociaciones visuales que nos lleva de una página a la siguiente.","A buen paso editorial S.L.",2022-03-07,,,,,60,,,,,,,,,,,,,2026-01-05,1
book,"Me aburro",,,,9788416427253,8416427259,,,,,,,,,,,,,,,,,,,,,2026-01-05,1
book,Piensa,"Shinsuke Yoshitake, Natalia Asano Cubi",Shinsuke,Yoshitake,9788416427512,8416427518,"Los personajes de este libro no paran de pensar. ¿Qué es un amigo? ¿Qué tipo de lugar es un colegio? A medida que van encontrándose en su día a día, les van surgiendo nuevas ideas sobre las que pensar: ¿Qué es perdonar? ¿En qué consiste madurar? Seremos partícipes de sus ingeniosos razonamientos y divertidas conclusiones sobre diferentes temas, unos más sencillos y otros de mayor complejidad: ¿Qué es la justicia? ¿Qué me hace ser yo? Para Shinsuke Yoshitake, pensar se parece un poco a correr una maratón, requiere entrenamiento, por tanto, cuanto más nos apliquemos a ello, más sencillo nos resultará y mejores resultados obtendremos. Aunque también llega a comparar pensar con tirarse un pedo, ya veréis cómo. Un libro para todas las edades que probablemente os dé que pensar, y si no es así, seguramente os reiréis porque Shinsuke Yoshitake nunca falla.","Pastel de Luna",2022-04-06,,,,,52,,,,,,,,,,,,,2026-01-05,1
book,"Madre Medusa (Spanish Edition)","Kitty Crowther, María Carolina Concha",Kitty,Crowther,9788412060027,8412060024,"Una noche en que el viento sopla con terrible fuerza, dos mujeres caminan a paso vivo hacia la casa de Madre Medusa. La gran tarea de la vida comienza, y tras unas cuantas horas de esfuerzo, Anacarada asoma su cabeza. Madre Medusa está feliz con la llegada de su hija, la resguarda entre sus cabellos y sobre todo, la protege del mundo. Pero Anacarada quiere ser como todos los demás niños.","LECTORUM PUBLICATIONS INC.",2020-02-01,,,,,44,,,,,,,,,,,,,2026-01-05,1
book,"El Bosco: La extraña historia de Hieronymus, el gorro, la mochila y la pelota



(Spanish) 1st Edition",,,,9788494498800,8494498800,,,,,,,,,,,,,,,,,,,,,2026-01-05,1
book,"¿Sales a jugar?","María Pascual",María,Pascual,9788494222870,8494222872,"sales a jugar?",Narval,2015-01-01,,,,,,,,,,,,,,,,,,2026-01-05,1
book,"Un final inesperado","Jérôme Camil, Jerome Camil",Jérôme,Camil,9788417303822,8417303820,"En todos los cuentos hay un malvado. Normalmente siempre es el lobo. Y el pobre esta´ tan cansado de ser siempre el malo. ¿No se pueden cambiar los papeles por una vez? Seguro que si todos los protagonistas ponen algo de su parte pueden llegar a conseguirlo","Tramuntana Editorial",2020-09-28,,,,,48,,,,,,,,,,,,,2026-01-05,1
book,"La Merienda del Senor Verde = The Snack of Mr.Green (Spanish Edition)","Javier Saez Castan",Javier,Castan,9788493486358,8493486353,,Ekare,2007-09-01,,,,,,,,,,,,,,,,,,2026-01-05,1
book,"Caps For Sale / Se Venden Gorras (Reading Rainbow Book) (Spanish Edition)","Esphyr Slobodkina",Esphyr,Slobodkina,9780064434010,0006443401,"Based on an old folk tale, this perennial favorite is about about a poor peddler who loses his caps to a band of mischievous monkeys.",Rayo,2000-10-24,,,,,48,,,,,,,,,,,,,2026-01-05,1
book,"Siete ratones ciegos / Seven Blind Mice (Spanish Edition)","Ed Young, Veronica Uribe",Ed,Young,9789802572557,9802572551,"In this retelling of the Indian fable, seven blind mice discover different parts of an elephant and argue about its appearance.Title: Siete ratones ciegos / Seven Blind MiceAuthor: Young, Ed/ Uribe, VeronicaPublisher: Lectorum PubnsPublication Date: 2010/10/01Number of Pages: 40Binding Type: PAPERBACKLibrary of Congress: bl2005015655","Ediciones Ekare",2001-01-01,,,,,40,,,,,,,,,,,,,2026-01-05,1
book,"La cena con la reina","Rutu Modan",Rutu,Modan,9788416167562,8416167567,,"Fulgencio Pimentel S.L.",2017-01-01,,,,,,,,,,,,,,,,,,2026-01-05,1
